Name;Artwork type;Artist name;Latitude;Longitude
"""Le Totem""";;Guy de Rougemont;45.7637725;4.8740508
Monument de Vercingétorix;;;47.5385491;4.4905888
Statue équestre de Louis XIV;statue;;43.6112535;3.870765
Statue équestre de Louis XIV;statue;François-Frédéric Lemot;45.7578371;4.8321925
Le Grand M;sculpture;Christophe et François Morellet;43.5900478;3.8563552
Crebillon;bust;;47.314963;5.0297102
Les tulipes de Shangri-La;sculpture;Yayoi Kusama;50.6386768;3.0744732
Écho;sculpture;Jean-Yves Brélivet;48.1016752;-1.642181
;graffiti;C215;48.8554206;2.3183101
Ours blanc;statue;Henry Martinet;47.3238834;5.0331909
Statue du Général Jean Rapp;sculpture;Frédéric Auguste Bartholdi;48.0770127;7.354183
Statue d'Armand Joseph Bruat;sculpture;Frédéric Auguste Bartholdi;48.0755785;7.3527612
D-Day Juno Beach Memorial;sculpture;;49.3366879;-0.4615786
Veilleur de pierre;sculpture;Georges Salendre;45.7582517;4.8332712
La Victoire de Samothrace;statue;;43.60764;3.8957055
Le Pèlerin de Compostelle;statue;Bigata;44.7656529;-0.6191337
Martin Kingfisher;streetart;Abys;48.5910453;7.7236894
Statue de Rouget de Lisle;;;48.7642444;2.4060748
Jean Jaurès;statue;Gabriel Pech;43.6099341;3.8777589
Daphné;sculpture;;43.3196423;1.9529372
Fontaine Wallace;;Charles-Auguste Lebourg;43.5848773;1.4534512
;sculpture;;43.3059574;5.3934592
L'Éternité;sculpture;;46.9051238;6.3514394
Cobbers Australian Memorial;;Peter Corlett;50.6181732;2.8359377
Statue de Jean-Baptiste de la Quintinie;;;48.7990926;2.1213733
Eco vs Ego;mural;Reskate;45.1920562;5.7167561
Statue du Marquis Jouffroy d'Abbans;sculpture;Pascal Coupot;47.2398176;6.0202868
Victor Hugo;statue;Ousmane Sow;47.2362017;6.0221599
Le Minotaure;statue;Jens Boettcher;47.2420603;6.0246491
Vierge;;;46.9377446;6.3239149
Horloge astronomique;architecture;Auguste-Lucien Vérité;47.2336365;6.0307815
Vierge;statue;;46.9667765;6.402313
;graffiti;;48.8707709;2.1372773
;sculpture;;43.7579878;5.8877412
Statue de Ludwik Lejzer Zamenhof;;;48.764609;2.4101475
Turenne enfant;sculpture;Lucien-Benoit Hercule;48.862366;2.3645188
Vache Rouge;statue;;50.9666098;2.4324568
Monument Pasteur;sculpture;;47.0944242;5.4990118
Mémorial de la déportation;sculpture;;48.3849492;-4.4826239
Statue de la Sainte-Famille;;;44.459802;4.8474202
Statue d'André Malraux;statue;Bernard Paul;46.8947934;6.3640149
Danse de la Fontaine Émergente;;;48.8391823;2.370612
;sculpture;;43.6014909;1.447634
L'Envol de la Liberté;mosaic;Jean Bazaine;48.2864218;6.9466144
Le Monstre;statue;Xavier Veilhan;47.3936395;0.6806024
L'abribus;;Philippe Starck;43.8368201;4.3657098
Monument aux Morts de 1870;;;46.5793157;0.3401879
Vierge Marie;statue;;46.2570291;4.9142059
Statue de la Liberté (maquette répliquée);statue;Auguste Bartholdi;48.8500236;2.2797012
Jeanne D'arc;statue;;44.8487485;-0.5753271
Statue de la Liberté;sculpture;Guillaume Roche;48.1084062;7.3636331
;sculpture;;43.7195247;6.9786504
Table d'orientation;;;49.2141832;2.5094045
Statue de Saint-Michel;statue;Emmanuel Frémiet;48.6360268;-1.5114124
;fontaine Wallace;Charles-Auguste Lebourg;44.8504902;-0.5757327
;fontaine Wallace;Charles-Auguste Lebourg;44.8491294;-0.5729311
;fontaine Wallace;Charles-Auguste Lebourg;44.841895;-0.5723094
Fontaine Wallace;;Charles-Auguste Lebourg;44.8323145;-0.5727242
;Fontaine Wallace;Charles-Auguste Lebourg;44.8405329;-0.5595856
